number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size_0,params_batch_size_1,params_batch_size_2,params_batch_size_3,params_batch_size_4,params_h1,params_h2,params_iter_no_change,params_learning_rate_init,params_max_iter,params_num_hidden_layers,params_preset_idx,state
77,0.8959346507833903,2025-11-29 23:38:22.208624,2025-11-29 23:38:24.207509,0 days 00:00:01.998885,relu,64.0,,,,,5,6.0,69,0.0022617639557453123,572,2,0,PRUNED
78,0.8959681564936685,2025-11-29 23:38:24.208447,2025-11-29 23:38:30.145281,0 days 00:00:05.936834,logistic,64.0,,,,,4,7.0,66,0.0016450636585244897,553,2,0,PRUNED
79,0.9449082088223334,2025-11-29 23:38:30.146131,2025-11-29 23:38:34.088022,0 days 00:00:03.941891,relu,64.0,,,,,4,5.0,73,0.0029041355932191435,524,2,0,PRUNED
80,0.9417896355310825,2025-11-29 23:38:34.088845,2025-11-29 23:38:44.246346,0 days 00:00:10.157501,relu,64.0,,,,,5,5.0,70,0.0025781358404570404,584,2,0,COMPLETE
81,0.946316153929996,2025-11-29 23:38:44.248290,2025-11-29 23:38:54.793795,0 days 00:00:10.545505,relu,64.0,,,,,5,5.0,70,0.002639825889302764,556,2,0,COMPLETE
82,0.9350233579097769,2025-11-29 23:38:54.795129,2025-11-29 23:39:05.080273,0 days 00:00:10.285144,relu,64.0,,,,,5,5.0,70,0.0025850278539568915,578,2,0,COMPLETE
83,0.9351330093103964,2025-11-29 23:39:05.081260,2025-11-29 23:39:06.640200,0 days 00:00:01.558940,relu,64.0,,,,,5,5.0,67,0.0022091553530244378,557,2,0,PRUNED
84,0.9193228066801256,2025-11-29 23:39:06.641130,2025-11-29 23:39:08.831599,0 days 00:00:02.190469,relu,64.0,,,,,4,6.0,71,0.002324479262313774,586,2,0,PRUNED
85,0.9338450274572425,2025-11-29 23:39:08.832384,2025-11-29 23:39:12.981411,0 days 00:00:04.149027,relu,64.0,,,,,6,8.0,74,0.0031744626746082537,547,2,0,PRUNED
86,0.9407954957239986,2025-11-29 23:39:12.982290,2025-11-29 23:39:26.819160,0 days 00:00:13.836870,relu,64.0,,,,,5,5.0,63,0.0017519488396669847,569,2,0,COMPLETE
87,0.9190240122464869,2025-11-29 23:39:26.820141,2025-11-29 23:39:29.295644,0 days 00:00:02.475503,relu,64.0,,,,,4,6.0,63,0.0019630003087100427,535,2,0,PRUNED
88,0.9014043915586255,2025-11-29 23:39:29.296495,2025-11-29 23:39:35.410356,0 days 00:00:06.113861,logistic,16.0,,,,,5,,78,0.0017220056981030283,590,1,0,PRUNED
89,0.8073475832161711,2025-11-29 23:39:35.411215,2025-11-29 23:39:38.505276,0 days 00:00:03.094061,relu,32.0,,,,,6,5.0,65,0.0008067561036144776,578,2,0,PRUNED
90,0.9190665137131578,2025-11-29 23:39:38.506325,2025-11-29 23:39:59.018001,0 days 00:00:20.511676,relu,64.0,,,,,3,6.0,72,0.0014919177208808725,517,2,0,COMPLETE
91,0.9468030980267045,2025-11-29 23:39:59.018919,2025-11-29 23:40:01.701131,0 days 00:00:02.682212,relu,64.0,,,,,5,5.0,68,0.0019111623498709604,564,2,0,PRUNED
92,0.9464056124867752,2025-11-29 23:40:01.701979,2025-11-29 23:40:04.726327,0 days 00:00:03.024348,relu,64.0,,,,,5,5.0,69,0.0027321396104531817,600,2,0,PRUNED
93,0.9436843209954475,2025-11-29 23:40:04.727156,2025-11-29 23:40:06.547370,0 days 00:00:01.820214,relu,64.0,,,,,5,5.0,68,0.0037758948541180086,569,2,0,PRUNED
94,0.9385054692503119,2025-11-29 23:40:06.548200,2025-11-29 23:40:17.853302,0 days 00:00:11.305102,relu,64.0,,,,,6,10.0,71,0.0033117613544448926,546,2,0,COMPLETE
95,0.9461011482857664,2025-11-29 23:40:17.854259,2025-11-29 23:40:27.061972,0 days 00:00:09.207713,relu,64.0,,,,,6,11.0,75,0.0033489917622034626,528,2,0,COMPLETE
96,0.9394434759963378,2025-11-29 23:40:27.062942,2025-11-29 23:40:45.281737,0 days 00:00:18.218795,relu,32.0,,,,,6,11.0,75,0.003426158328371059,550,2,0,COMPLETE
97,0.9383566983079624,2025-11-29 23:40:45.282801,2025-11-29 23:40:47.992859,0 days 00:00:02.710058,tanh,,64.0,,,,6,11.0,75,0.002350921274629766,492,2,1,PRUNED
98,0.9415280412129913,2025-11-29 23:40:47.993618,2025-11-29 23:40:50.050226,0 days 00:00:02.056608,relu,,,,,100.0,6,,59,0.002733051508597901,528,1,4,PRUNED
99,0.9558890033457228,2025-11-29 23:40:50.051158,2025-11-29 23:41:15.227829,0 days 00:00:25.176671,logistic,32.0,,,,,5,11.0,77,0.002067556922061787,503,2,0,COMPLETE
100,0.9563497332724872,2025-11-29 23:41:15.228781,2025-11-29 23:41:57.889133,0 days 00:00:42.660352,logistic,,,,10.0,,5,11.0,49,0.0021286475534560466,487,2,3,COMPLETE
101,0.9534776718633161,2025-11-29 23:41:57.891663,2025-11-29 23:42:38.289848,0 days 00:00:40.398185,logistic,,,,10.0,,5,11.0,49,0.002105345837258941,487,2,3,COMPLETE
102,0.940232533524772,2025-11-29 23:42:38.293142,2025-11-29 23:42:44.964901,0 days 00:00:06.671759,logistic,32.0,,,,,5,10.0,79,0.0021208629140591754,512,2,0,PRUNED
103,0.9559945022306889,2025-11-29 23:42:44.965826,2025-11-29 23:43:29.002911,0 days 00:00:44.037085,logistic,,,,10.0,,5,11.0,49,0.0018397629652428242,488,2,3,COMPLETE
104,0.9415757536577746,2025-11-29 23:43:29.003958,2025-11-29 23:43:39.407840,0 days 00:00:10.403882,logistic,,,,10.0,,5,11.0,49,0.00145421749883034,489,2,3,PRUNED
105,0.9393737009855779,2025-11-29 23:43:39.408904,2025-11-29 23:43:46.754225,0 days 00:00:07.345321,logistic,,,,10.0,,4,11.0,49,0.0018162432926919652,495,2,3,PRUNED
106,0.9350215263341776,2025-11-29 23:43:46.755084,2025-11-29 23:43:54.209510,0 days 00:00:07.454426,logistic,,,,10.0,,5,10.0,49,0.0021651885083768464,485,2,3,PRUNED
107,0.9390054571971154,2025-11-29 23:43:54.210398,2025-11-29 23:44:04.286382,0 days 00:00:10.075984,logistic,,,,10.0,,5,11.0,44,0.0015032859812251732,494,2,3,PRUNED
108,0.9524360188348219,2025-11-29 23:44:04.287278,2025-11-29 23:44:42.883369,0 days 00:00:38.596091,logistic,,,,10.0,,5,11.0,32,0.001848605511776641,462,2,3,COMPLETE
109,0.9393737009855779,2025-11-29 23:44:42.884332,2025-11-29 23:44:47.848502,0 days 00:00:04.964170,logistic,,,,10.0,,4,11.0,29,0.0018992677861733363,465,2,3,PRUNED
110,0.9565203650430082,2025-11-29 23:44:47.849450,2025-11-29 23:45:31.737745,0 days 00:00:43.888295,logistic,,,,10.0,,5,11.0,37,0.0020704403260743127,483,2,3,COMPLETE
111,0.9549665004341928,2025-11-29 23:45:31.738655,2025-11-29 23:46:12.455259,0 days 00:00:40.716604,logistic,,,,10.0,,5,11.0,36,0.0020570609677259613,485,2,3,COMPLETE
112,0.9539977887446437,2025-11-29 23:46:12.456281,2025-11-29 23:46:51.725351,0 days 00:00:39.269070,logistic,,,,10.0,,5,11.0,37,0.0020182984740849145,484,2,3,COMPLETE
113,0.9489877790994837,2025-11-29 23:46:51.726384,2025-11-29 23:47:00.822938,0 days 00:00:09.096554,logistic,,,,10.0,,5,11.0,37,0.0019875818616691804,451,2,3,PRUNED
114,0.892980061599762,2025-11-29 23:47:00.824790,2025-11-29 23:47:05.732295,0 days 00:00:04.907505,logistic,,,,10.0,,5,10.0,34,0.002073444786614352,483,2,3,PRUNED
115,0.9419327473547894,2025-11-29 23:47:05.733178,2025-11-29 23:47:15.930431,0 days 00:00:10.197253,logistic,,,,10.0,,5,11.0,39,0.0012415876090219298,469,2,3,PRUNED
116,0.9386161300613487,2025-11-29 23:47:15.931521,2025-11-29 23:47:23.084208,0 days 00:00:07.152687,logistic,,,,10.0,,4,11.0,41,0.0015800152290418557,460,2,3,PRUNED
117,0.9223602928668457,2025-11-29 23:47:23.085067,2025-11-29 23:47:35.420204,0 days 00:00:12.335137,logistic,,,,10.0,,6,11.0,32,0.0013513617473129983,476,2,3,PRUNED
118,0.920644777953361,2025-11-29 23:47:35.421123,2025-11-29 23:47:44.192726,0 days 00:00:08.771603,logistic,,,,10.0,,4,10.0,37,0.001826599285557104,444,2,3,PRUNED
119,0.9247778999283323,2025-11-29 23:47:44.193539,2025-11-29 23:47:51.573225,0 days 00:00:07.379686,logistic,,,,10.0,,6,11.0,31,0.002431570213376258,486,2,3,PRUNED
120,0.9485605687304713,2025-11-29 23:47:51.575806,2025-11-29 23:47:58.348983,0 days 00:00:06.773177,logistic,,,,10.0,,5,11.0,27,0.002217442756738493,496,2,3,PRUNED
121,0.9143023464057072,2025-11-29 23:47:58.349850,2025-11-29 23:48:10.652947,0 days 00:00:12.303097,logistic,,,,10.0,,5,11.0,36,0.00037577684536911567,470,2,3,PRUNED
122,0.9540320973218941,2025-11-29 23:48:10.653836,2025-11-29 23:48:50.492665,0 days 00:00:39.838829,logistic,,,,10.0,,5,11.0,42,0.002078147773758106,496,2,3,COMPLETE
123,0.9444969466871883,2025-11-29 23:48:50.493616,2025-11-29 23:48:59.467922,0 days 00:00:08.974306,logistic,,,,10.0,,5,10.0,42,0.002086924958730432,479,2,3,PRUNED
124,0.9484278529418934,2025-11-29 23:48:59.468738,2025-11-29 23:49:05.397629,0 days 00:00:05.928891,logistic,,,,10.0,,5,11.0,46,0.0023244301848564094,487,2,3,PRUNED
125,0.9554704062528707,2025-11-29 23:49:05.398484,2025-11-29 23:49:57.548942,0 days 00:00:52.150458,logistic,,,,10.0,,5,11.0,48,0.00164430109481907,496,2,3,COMPLETE
126,0.9492485739478113,2025-11-29 23:49:57.550011,2025-11-29 23:50:11.995350,0 days 00:00:14.445339,logistic,,,,10.0,,5,11.0,38,0.001662959832646639,496,2,3,PRUNED
127,0.9393737009855779,2025-11-29 23:50:11.996259,2025-11-29 23:50:18.535692,0 days 00:00:06.539433,logistic,,,,10.0,,4,11.0,34,0.0018609584093146764,496,2,3,PRUNED
128,0.9443358497663457,2025-11-29 23:50:18.536571,2025-11-29 23:50:27.093540,0 days 00:00:08.556969,logistic,,,,10.0,,5,10.0,48,0.002015750380684947,483,2,3,PRUNED
129,0.9569268575445609,2025-11-29 23:50:27.095741,2025-11-29 23:51:01.031735,0 days 00:00:33.935994,logistic,,,,10.0,,5,11.0,43,0.002581156946752903,463,2,3,COMPLETE
130,0.9514378886643071,2025-11-29 23:51:01.032700,2025-11-29 23:51:41.803014,0 days 00:00:40.770314,logistic,,,,10.0,,5,11.0,45,0.002671135317903583,458,2,3,COMPLETE
131,0.9510869579777427,2025-11-29 23:51:41.804007,2025-11-29 23:51:48.825642,0 days 00:00:07.021635,logistic,,,,10.0,,5,11.0,44,0.0025499931354430573,476,2,3,PRUNED
132,0.9511959469332864,2025-11-29 23:51:48.826413,2025-11-29 23:51:54.594904,0 days 00:00:05.768491,logistic,,,,10.0,,5,11.0,46,0.0029228743162663363,464,2,3,PRUNED
133,0.9553593343569615,2025-11-29 23:51:54.595995,2025-11-29 23:52:33.289432,0 days 00:00:38.693437,logistic,,,,10.0,,5,11.0,43,0.0026374639846934987,460,2,3,COMPLETE
134,0.945824914927056,2025-11-29 23:52:33.290504,2025-11-29 23:52:41.146027,0 days 00:00:07.855523,logistic,,,,10.0,,5,11.0,43,0.002269689141578028,456,2,3,PRUNED
135,0.9605425454162548,2025-11-29 23:52:41.147049,2025-11-29 23:53:23.587799,0 days 00:00:42.440750,logistic,,,,10.0,,5,11.0,40,0.0017534025796977614,447,2,3,COMPLETE
136,0.9393737009855779,2025-11-29 23:53:23.588757,2025-11-29 23:53:29.166850,0 days 00:00:05.578093,logistic,,,,10.0,,4,11.0,39,0.001792685190254763,467,2,3,PRUNED
137,0.9550792479509159,2025-11-29 23:53:29.167639,2025-11-29 23:54:11.072024,0 days 00:00:41.904385,logistic,,,,10.0,,5,11.0,42,0.0019724555203938423,456,2,3,COMPLETE
138,0.9412209719294556,2025-11-29 23:54:11.073233,2025-11-29 23:54:19.255875,0 days 00:00:08.182642,logistic,,,,10.0,,5,11.0,41,0.001621100516519862,451,2,3,PRUNED
